File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A005_D035_0503CO_001.R3D,/Volumes/SSD4TB/Raptor UW 3 May/A005_D035_0503CO.RDC,00:01:16:23,,,5120 x 2700,r3d,"A small group of golden sweepers, Parapriacanthus ransonneti, schooling under a large coral head in Raja Ampat, Indonesia, Pacific Ocean",golden-sweepers-school,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9,,
A005_D004_05032X_001.R3D,/Volumes/SSD4TB/Raptor UW 3 May/A005_D004_05032X.RDC,00:00:49:22,,,5120 x 2700,r3d,"Eretmochelys imbricata, foraging on the reef in Raja Ampat, Indonesia, Pacific Ocean",hawksbill-turtle-foraging,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9,,
A008_D001_0507HF_001.R3D,/Volumes/SSD4TB/Raptor UW 7 May/A008_D001_0507HF.RDC,00:01:39:01,,,7680 x 4320,r3d,"A large group of ribboned sweetlips, Plectorhinchus polytaenia, tightly packed together to avoid predators in Raja Ampat, Indonesia, Pacific Ocean",ribbon-sweetlips-school,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,A008_D001_0507HF_001.R3D,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.78,,
A032_C146_0918B1_001.R3D,,00:01:23:03,,,5120 x 2700,r3d,"A large green turtle, Chelonia mydas, swims through a healthy coral garden in the Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-from-above,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1.09,Commercial,Premium
A033_C107_0919KN_001.R3D,,00:00:21:02,,,5120 x 2160,r3d,"Sunset over the waters of Komodo National Park with a traditional phinisi boat silhouetted in the foreground, Komodo National Park, Indonesia, Pacific Ocean",Komodo-scenery-sunset-boat,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Standard
A033_C109_0919S5_001.R3D,,00:00:08:20,,,5120 x 2160,r3d,"Sunset over the waters of Komodo National Park with a traditional phinisi boat in the foreground, Komodo National Park, Indonesia, Pacific Ocean",sunset-komodo-boat-clouds,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Standard
A033_C111_0919KW_001.R3D,,00:00:46:48,,,5120 x 2160,r3d,"Sunset over the waters of Komodo National Park with a speedboat crossing in front of a traditional phinisi boat in the foreground, Komodo National Park, Indonesia, Pacific Ocean",speedboat-crossing-sunset-reflection-sea,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Standard
A033_C080_091838_001.R3D,,00:00:35:19,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-emerging-sea,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standar
A033_C081_0918B5_001.R3D,,00:01:50:04,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-surfacing,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A033_C082_0918AC_001.R3D,,00:00:42:85,,,5120 x 2700,r3d,"Landscape of the brown islands of Komodo National Park, panning the camera from left to right, Komodo Island, Indonesia, Pacific Ocean",komodo-lanscape-pan-to-right,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A033_C083_0918MG_001.R3D,,00:01:54:10,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A033_C084_0918P8_001.R3D,,00:00:35:03,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-surface,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
A032_C139_0918JK_001.R3D,,00:01:26:52,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims through the water column backlit with sun rays, Komodo National Park, Indonesia, Pacific Ocean",Turtle-swimming-water-column-sun,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C140_0918QW_001.R3D,,00:00:54:48,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims behind the coral, Komodo National Park, Indonesia, Pacific Ocean",turtle-swimming-behind-coral,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C140_0918QW_001.R3D,,00:00:54:48,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, hiding behind corals, Komodo National Park, Indonesia, Pacific Ocean",turtle-hiding-behind-coral,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C140_0918QW_001.R3D,,00:00:54:48,,,5120 x 2700,r3d,"Panning around a coral head to reveal a green turtle, Chelonia mydas, as it swims into the water column, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-reveal-from-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C141_0918U7_001.R3D,,00:02:04:47,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims past a healthy hard coral reef, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-over-corals-sideview,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C141_0918U7_001.R3D,,00:02:04:47,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims over a healthy coral reef, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-over-corals-sideview,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C144_0918LN_001.R3D,,00:01:06:10,,,5120 x 2700,r3d,"A silhouetted green turtle, Chelonia mydas, swims through the water column backlit with sun rays, Komodo National Park, Indonesia, Pacific Ocean",greenturtle-silohuette-looking-up-bluewater,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C144_0918LN_001.R3D,,00:01:06:10,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims toward the surface in the late afternoon, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-up-to-surface,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C145_0918Y1_001.R3D,,00:00:47:11,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, gliding in the water column backlit with sun rays, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-from-below-gliding-watercolumn,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C146_0918B1_001.R3D,,00:01:23:03,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims over sand toward the coral reef, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-over-sand-to-corals-from-above,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C145_0918Y1_001.R3D,,00:00:47:11,,,5120 x 2700,r3d,"Following a green turtle, Chelonia mydas, from behind as it swims over a white sandy bottom, Komodo National Park, Indonesia, Pacific Ocean",following-green-turtle-from-behind,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C147_0918U3_001.R3D,,00:00:38:55,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims over corals from left to right,  Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-over-corals-left-to-right,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C146_0918B1_001.R3D,,00:01:23:03,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims over a coral reef viewed from above, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-swimming-over-corals-from-above,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C147_0918U3_001.R3D,,00:00:38:55,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims toward the camera before turning and swimming away, Komodo National Park, Indonesia, Pacific Ocean",green-turtle-front-view-turning-in-front-camera,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Shooting the sun rays diffusing in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",sunrays-underwater-afternoon,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Sun rays diffusing in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",sunrays-underwater-late-afternoon,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Diffused sun rays in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",Sunrays-underwater-afternoon-light,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C003_0916O6_001.R3D,,00:00:43:41,,,5120 x 2160,r3d,"A moorish idol, Zanclus cornutus, inspects a large red barrel sponge, Xestospongia muta, Komodo National Park, Indonesia, Pacific Ocean",Moorish-idol-fish-in-barrel-sponge,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Premium
A032_C005_0916IW_001.R3D,,00:00:27:52,,,5120 x 2160,r3d,"Healthy soft corals and sponges with tropical fish swarming around them with a white sandy bottom, Komodo National Park, Indonesia, Pacific Ocean",healthy-corals-barrel-sponges,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Premium
A032_C006_0916B8_001.R3D,,00:00:48:40,,,5120 x 2160,r3d,"Moorish idols, Zanius cornutus, and anthias swim around red barrel sponges, Xestospongia muta, Komodo National Park, Indonesia, Pacific Ocean",moorish-idol-group-over-coralhead-barrel-sponges,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Premium
A032_C007_0916DG_001.R3D,,00:00:23:46,,,5120 x 2160,r3d,"A white tip reef shark, Triaenodon obesus, sits under a ledge in the Komodo National Park, Indonesia, Pacific Ocean",white-tip-reef-shark-overhang-wide,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Premium
